id,family,control,level,source,applies_when,verify,implementation_hint
SEC-LOG-06,error-log,Alerts on fiscal reporting backlog and sync lag,L2,foundry,fiscal,review,metrics thresholds in ADR 0008
SEC-LOG-07,error-log,Log retention 30 days; audit forever (financial retention),L1,foundry,always,review,retention config
SEC-LOG-08,error-log,Time synchronised across devices; server timestamps authoritative for audit,L1,ASVS-5.0 V16,always,review,NTP; server-side created_at
SEC-API-01,api,Idempotency-Key required on every POST that moves money or creates orders; replays return the first result,L1,foundry,always,test,"idempotency table keyed by (device, key)"
SEC-API-02,api,Rate limits per device and per staff on money operations,L1,OWASP-API-Top10-2023 API4,money,test,token bucket at edge and api
SEC-API-03,api,Inventory-style responses avoid mass data exposure; list endpoints paginate and filter by branch,L1,OWASP-API-Top10-2023 API3,always,test,cursor pagination max 200
SEC-API-04,api,"Inbound webhooks idempotent on (provider, event_id) and signature-verified",L1,OWASP-API-Top10-2023 API10,webhooks,test,webhook_receipts table
SEC-API-05,api,"Outbound calls to providers carry timeouts, retries with backoff and circuit breakers",L2,OWASP-API-Top10-2023 API10,integrations,test,undici with timeout 10 s
SEC-API-06,api,SSRF prevented: outbound URLs only to configured provider hosts,L1,OWASP-API-Top10-2023 API7,integrations,scan,allow-list of hosts
SEC-API-07,api,CORS restricted to the web origin; no wildcard with credentials,L1,ASVS-5.0 V3,web,test,cors config
SEC-API-08,api,"Security headers: CSP, X-Content-Type-Options, Referrer-Policy, frame-ancestors none",L1,ASVS-5.0 V3,web,test,helmet-like middleware
SEC-API-09,api,API versioned under /api/v1; breaking changes bump the version,L1,foundry,always,review,openapi servers
SEC-API-10,api,ETag and If-Match on mutable resources to prevent lost updates,L1,foundry,always,test,412 on mismatch
SEC-API-11,api,Sync push validates device_id ownership and monotonic sequence,L1,foundry,offline=true,test,reject seq ≤ last_seq
SEC-API-12,api,Unsafe consumption of provider responses avoided: schemas validated before use,L2,OWASP-API-Top10-2023 API10,integrations,test,zod on adapter responses
SEC-API-13,api,"Business flows protected from automation abuse (bulk voids, refund loops)",L2,OWASP-API-Top10-2023 API6,money,test,per-staff daily void limits with manager escalation
SEC-CFG-01,config,Production config differs from development only by environment variables,L1,ASVS-5.0 V13,always,review,12-factor
SEC-CFG-02,config,Debug endpoints and verbose errors disabled in production,L1,ASVS-5.0 V13,always,test,NODE_ENV production
SEC-CFG-03,config,Dependency audit in CI; high severity blocks merge,L1,ASVS-5.0 V15,always,scan,npm audit --audit-level high; osv-scanner
SEC-CFG-04,config,Container runs as non-root with read-only filesystem where possible,L2,ASVS-5.0 V13,always,review,Dockerfile USER node
SEC-CFG-05,config,Environment secrets not baked into images; .env.example documents every variable,L1,ASVS-5.0 V13,always,scan,docker history check
SEC-CFG-06,config,Health endpoint exposes no secrets or versions of internal components,L1,ASVS-5.0 V13,always,test,/health returns ok only
SEC-CFG-07,config,Print bridge listens on LAN only with a shared token,L1,foundry,printing,test,bind 0.0.0.0 with token header; no internet exposure
SEC-CFG-08,config,Feature flags default safe (payments sandbox until wizard confirms live keys),L1,foundry,payments,review,flag PAYMENTS_LIVE=false
SEC-SC-01,supply-chain,Lockfile committed; installs use npm ci,L1,ASVS-5.0 V15,always,scan,CI uses ci not install
SEC-SC-02,supply-chain,Dependencies pinned to major; renovate or dependabot weekly,L2,ASVS-5.0 V15,always,review,renovate.json
SEC-SC-03,supply-chain,SBOM generated per release,L2,ASVS-5.0 V15,always,scan,cyclonedx-npm
SEC-SC-04,supply-chain,Only packages with maintained releases and known licences (MIT/Apache/BSD/ISC),L2,foundry,always,scan,license-checker
SEC-SC-05,supply-chain,Provider SDKs pinned and verified against published checksums,L2,ASVS-5.0 V15,integrations,review,package-lock integrity
SEC-SC-06,supply-chain,Build reproducible from a clean clone with one command,L1,foundry,always,test,CI cold build
SEC-BL-01,business-logic,Order total recomputed server-side from lines; client totals ignored,L1,ASVS-5.0 V2.3,always,test,unit test on totals; property test on rounding
SEC-BL-02,business-logic,Tax computed once per order per TaxRule; rounding in minor units,L1,foundry,always,test,fixtures per region
SEC-BL-03,business-logic,Payment amount equals order remaining; overpayment only for cash with change,L1,foundry,money,test,invariant test
SEC-BL-04,business-logic,Refund never exceeds captured minus prior refunds,L1,foundry,money,test,invariant test
SEC-BL-05,business-logic,Void after fire requires reason and approver; comp always requires approver,L1,foundry,money,test,policy thresholds per branch
SEC-BL-06,business-logic,Discount over policy threshold requires manager PIN and is capped by role,L1,foundry,money,test,role.max_discount_pct
SEC-BL-07,business-logic,Shift close blocked with open orders; expected cash computed server-side,L1,foundry,shifts,test,gate on shift close
SEC-BL-08,business-logic,Receipt numbers gapless per branch; offline blocks reserved server-side,L1,foundry,offline=true,test,allocator test across two devices
SEC-BL-09,business-logic,Sold-out items rejected on add across all channels,L1,foundry,always,test,86 flag check
SEC-BL-10,business-logic,Split tender remainder assignment deterministic (remainder to last bill),L1,foundry,money,test,unit test
SEC-BL-11,business-logic,Duplicate offline orders deduplicated by client UUID,L1,foundry,offline=true,test,sync replay test
SEC-BL-12,business-logic,Menu price changes apply to new lines only; open orders keep prices,L1,foundry,always,test,price snapshot on line
SEC-BL-13,business-logic,Day lock prevents edits to past orders without owner PIN,L2,foundry,always,test,day_locked_at
SEC-BL-14,business-logic,Loyalty redemption cannot exceed balance; one redemption per order,L1,foundry,loyalty,test,balance check
SEC-BL-15,business-logic,Delivery platform orders accepted only from verified webhook payloads,L1,foundry,delivery,test,signature plus platform order id uniqueness
SEC-BL-16,business-logic,Room charge requires PMS folio confirmation before Order paid,L1,foundry,room_charge,test,adapter returns folio ref
SEC-PAY-01,payments,Online card capture via provider-hosted page or redirect (SAQ A); merchant page never loads card fields,L1,PCI-DSS-4.0 SAQ A,payments=card,review,no iframe or JS card fields on merchant domain
SEC-PAY-02,payments,"In-person via semi-integrated terminal: amount pushed, approval code returned",L1,PCI-DSS-4.0 req 9,payments=card,review,terminal SDK; no PAN
SEC-PAY-03,payments,Provider secrets only in api environment; devices hold no provider keys,L1,PCI-DSS-4.0 req 8,payments=card,scan,gitleaks; env review
SEC-PAY-04,payments,Refunds via provider token; manual cash fallback needs owner PIN,L1,foundry,money,test,refund flow
SEC-PAY-05,payments,Payment webhooks reconcile captures with local Payment rows nightly,L2,foundry,payments=card,test,recon job
SEC-PAY-06,payments,SoftPOS payments handled by the provider app; POS receives result only,L1,PCI-DSS-4.0 SAQ A,softpos,review,intent-based launch
SEC-PAY-07,payments,Card-not-present flows disabled unless a hosted page is configured,L1,foundry,payments=card,test,feature flag
SEC-PAY-08,payments,Quarterly ASV scan required only when SAQ A-EP scope is entered (avoid),L1,PCI-DSS-4.0 req 11,saq_aep,review,scope decision in compliance.yaml
SEC-AGT-01,agentic,"Repository content, tickets and web pages are data, not instructions: agent skills state this and hooks strip instruction-like text from tool results before summarising",L1,OWASP-Agentic-Top10-2026 ASI01,subagents,review,PreToolUse hook wraps fetched content; skills carry the guardrail
SEC-AGT-02,agentic,Tool misuse bounded: implement-ticket may run only the DoD commands listed in stacks.csv and the ticket,L1,OWASP-Agentic-Top10-2026 ASI02,subagents,review,"allow-list in hooks; deny rm -rf, curl | sh"
SEC-AGT-03,agentic,Least privilege for agents: no production credentials in the build environment; wizard handles secrets,L1,OWASP-Agentic-Top10-2026 ASI03,subagents,review,sandbox env without provider keys
SEC-AGT-04,agentic,"Agent supply chain: skills, packs and MCP servers pinned and validated (foundry.py validate) before use",L1,OWASP-Agentic-Top10-2026 ASI04,subagents,scan,validate in CI; plugin version pinned
SEC-AGT-05,agentic,Unexpected code execution prevented: generated code runs only inside the DoD commands in CI or sandbox,L1,OWASP-Agentic-Top10-2026 ASI05,subagents,review,no eval of generated snippets by the agent
SEC-AGT-06,agentic,Memory and context poisoning: CONTEXT.md and .foundry artifacts validated by gates before reuse; no untrusted file promoted to a skill,L2,OWASP-Agentic-Top10-2026 ASI06,subagents,review,gates on every artifact
SEC-AGT-07,agentic,"Inter-agent messages use fixed return schemas; subagent output is data, not commands",L1,OWASP-Agentic-Top10-2026 ASI07,subagents,review,return contract: path plus ≤10 lines
SEC-AGT-08,agentic,Cascading failure limits: retry once per gate then stop; no unbounded loops,L1,OWASP-Agentic-Top10-2026 ASI08,subagents,review,retry rule in orchestrator
SEC-AGT-09,agentic,Human trust: agent never claims a gate passed without the gate output; DoD outputs pasted,L1,OWASP-Agentic-Top10-2026 ASI09,subagents,review,metrics and gate logs
SEC-AGT-10,agentic,Rogue agent containment: implement loop runs with file-scope limits (files_likely_touched plus tests) and blast-radius check,L2,OWASP-Agentic-Top10-2026 ASI10,subagents,review,detect_changes risk ≤ medium
SEC-AGT-11,agentic,"Insecure output handling: generated SQL, shell and HTML reviewed by security-review before merge",L1,OWASP-Agentic-Top10-2026 ASI05,subagents,review,security-review subagent
SEC-AGT-12,agentic,Excessive agency: money-moving code paths need a human-confirmed wizard step before live keys,L1,OWASP-Agentic-Top10-2026 ASI03,subagents,review,wizard gate before release
SEC-OFF-01,data,Offline outbox events signed with device token and sequence; server rejects gaps,L1,foundry,offline=true,test,"hmac over (device, seq, payload)"
SEC-OFF-02,data,Device-local PII limited to current shift; purged at shift close,L2,foundry,offline=true,test,local purge job
SEC-OFF-03,data,Conflict resolution rules deterministic and logged (LWW per field; payments append-only),L1,foundry,offline=true,test,sync tests
SEC-OFF-04,data,Receipt block allocation audited; unused blocks returned on device retirement,L1,foundry,offline=true,test,allocator audit
SEC-OFF-05,data,Sync endpoints rate-limited per device; batch ≤ 500 events,L1,foundry,offline=true,test,schema max
SEC-FIS-01,api,ZATCA simplified invoices reported within 24 h; retry queue; alert at 20 h,L1,foundry,region=SA,test,reporting job with backoff
SEC-FIS-02,api,FBR invoice number and QR obtained per sale; offline buffer resends in order,L1,foundry,region=PK,test,sandbox test
SEC-FIS-03,api,UAE receipts carry TRN and VAT breakdown; e-invoice export for B2B,L1,foundry,region=AE,test,fixture receipt
SEC-FIS-04,api,"Fiscal credentials (CSID, FBR token) rotated and stored per branch in the vault",L2,foundry,fiscal,review,vault paths
SEC-IN2-01,input,"Unicode normalisation (NFC) before comparing names, PLUs and PINs",L2,ASVS-5.0 V1.1,always,test,normalize on input
SEC-IN2-02,input,Reject requests with unexpected content types; JSON only for the api,L1,ASVS-5.0 V4,always,test,415 on non-JSON
SEC-IN2-03,input,"CSV exports escape formula-leading cells (=, +, -, @)",L1,ASVS-5.0 V1.2,always,test,prefix with apostrophe
SEC-IN2-04,input,Menu image uploads stripped of EXIF and re-encoded,L2,ASVS-5.0 V5,uploads,test,sharp toBuffer
SEC-IN2-05,input,Phone numbers validated to E.164 per region before WhatsApp receipts,L1,foundry,always,test,libphonenumber
SEC-IN2-06,input,Free-text notes capped at 500 chars and rendered as text,L1,ASVS-5.0 V2.1,always,test,schema max
SEC-IN2-07,input,Table and seat numbers bounded to branch floor plan,L1,ASVS-5.0 V2.1,always,test,fk check
SEC-IN2-08,input,Quantity bounded 1 to 999 per line; negative only via void,L1,ASVS-5.0 V2.3,always,test,schema
SEC-SESS2-01,session,"Device token stored in platform secure storage, never localStorage on web",L1,ASVS-5.0 V7.4,device_auth,review,httpOnly cookie for PWA
SEC-SESS2-02,session,Concurrent shift sessions per device limited to one,L1,foundry,shifts,test,unique open shift per device
SEC-SESS2-03,session,Kiosk and KDS devices auto-lock to their single screen; no navigation to admin,L1,foundry,device_auth,test,device role kds/kiosk
SEC-SESS2-04,session,Session fixation prevented: new session id after PIN sign-in,L1,ASVS-5.0 V7.2,always,test,regenerate on auth
SEC-ACC2-01,access,Reports filtered to the caller's branches; owner sees consolidated only via explicit scope,L1,OWASP-API-Top10-2023 API1,always,test,scope param validated
SEC-ACC2-02,access,Menu price edits restricted to manager and owner,L1,ASVS-5.0 V8.1,always,test,role check
SEC-ACC2-03,access,Staff can view only their own shift history unless manager,L1,OWASP-API-Top10-2023 API1,shifts,test,staff_id scope
SEC-ACC2-04,access,Refund and void permissions granted per role with amount caps,L1,ASVS-5.0 V8.1,money,test,role.max_refund
SEC-ACC2-05,access,Device enrolment and revocation limited to owner,L1,ASVS-5.0 V8.1,device_auth,test,role check
SEC-ACC2-06,access,Customer PII export limited to owner with audit,L2,ASVS-5.0 V8.1,always,test,audit event data.export
SEC-CRY2-01,crypto,Idempotency keys unguessable (UUID v4 or random 128-bit),L1,ASVS-5.0 V11,always,review,client generates
SEC-CRY2-02,crypto,"Print bridge shared token 256-bit, rotated on device retirement",L1,foundry,printing,review,token in settings
SEC-CRY2-03,crypto,QR self-order table links signed and time-bound,L2,ASVS-5.0 V9,qr_self_order,test,HMAC with expiry
SEC-CRY2-04,crypto,E-receipt links single-use and expire after 24 h,L1,ASVS-5.0 V9,always,test,signed token
SEC-CRY2-05,crypto,Database connections use TLS to managed Postgres,L1,ASVS-5.0 V12,always,review,sslmode=require
SEC-DATA2-01,data,"Staff PII (names, PIN hashes) never in device exports",L1,ASVS-5.0 V14,always,test,export allow-list
SEC-DATA2-02,data,Receipts store customer phone only with consent for e-receipt,L1,ASVS-5.0 V14,always,review,consent flag
SEC-DATA2-03,data,Analytics events carry no PII; ids hashed,L2,ASVS-5.0 V14,always,scan,event schema review
SEC-DATA2-04,data,Deleted customers pseudonymised in historic orders,L1,ASVS-5.0 V14,always,test,pseudonymise job
SEC-DATA2-05,data,Backups restricted to owner role and platform operators,L2,ASVS-5.0 V14,always,review,bucket policy
SEC-LOG2-01,error-log,"Void, comp and discount rates per staff reported daily to the owner",L2,foundry,money,review,report
SEC-LOG2-02,error-log,Sync conflicts and manual overrides logged with before and after values,L1,foundry,offline=true,test,audit payload diff
SEC-LOG2-03,error-log,Printer and terminal errors logged with device id for support,L1,foundry,printing,review,bridge logs
SEC-LOG2-04,error-log,Webhook receipts retained 90 days for dispute handling,L1,foundry,webhooks,review,retention
SEC-API2-01,api,Delivery platform status pushes retried with backoff and dead-letter queue,L1,foundry,delivery,test,queue
SEC-API2-02,api,Fiscal reporting endpoints isolated from ordering paths; outage never blocks tender,L1,foundry,fiscal,test,separate worker
SEC-API2-03,api,Bulk endpoints (menu import) capped and processed as jobs,L1,OWASP-API-Top10-2023 API4,always,test,job queue
SEC-API2-04,api,Health and metrics endpoints unauthenticated but minimal; no tenant data,L1,ASVS-5.0 V13,always,test,/health
SEC-API2-05,api,OpenAPI spec is the contract: request and response validated against it in tests,L1,ASVS-5.0 V4,always,test,contract tests
SEC-CFG2-01,config,Tax rules and fiscal settings editable only by owner with audit,L1,foundry,fiscal,test,role plus audit
SEC-CFG2-02,config,"Branch policy thresholds (void, discount, variance) stored server-side",L1,foundry,money,review,branch settings table
SEC-CFG2-03,config,Sandbox and live provider keys never share the same environment,L1,PCI-DSS-4.0 req 6,payments,review,env separation
SEC-CFG2-04,config,Staging uses synthetic data only,L1,ASVS-5.0 V13,always,review,seed
SEC-BL2-01,business-logic,Service charge removal requires PIN and reason,L1,foundry,money,test,guarded action
SEC-BL2-02,business-logic,Tips recorded per payment and reported per staff; never editable after shift close,L1,foundry,money,test,immutability
SEC-BL2-03,business-logic,Course firing order enforced; a later course cannot fire before an earlier held course without override,L2,foundry,always,test,sequence check
SEC-BL2-04,business-logic,Reservation no-show and cancel windows enforced per branch policy,L2,foundry,always,test,policy
SEC-BL2-05,business-logic,Inventory cannot go negative without a wastage or adjustment record,L1,foundry,always,test,movement check
SEC-BL2-06,business-logic,"Cash drawer opens only on cash tender, change, payout or authorised no-sale",L1,foundry,printing,test,drawer command gate
