id,heading_font,body_font,mono_font,arabic_font,urdu_font,scale_ratio,base_px,weights,mood,use_case,google_fonts_url
fraunces-editorial,Fraunces,Inter,JetBrains Mono,Noto Naskh Arabic,Noto Nastaliq Urdu,1.333,18,"400,600","editorial, warm","landing,content",https://fonts.google.com/specimen/Fraunces
playfair-luxury,Playfair Display,Source Sans 3,Source Code Pro,Amiri,Noto Nastaliq Urdu,1.333,17,"400,700","luxury, fine dining","hospitality,fine dining",https://fonts.google.com/specimen/Playfair+Display
amiri-classic,Amiri,Inter,JetBrains Mono,Amiri,Noto Nastaliq Urdu,1.25,17,"400,700",classic Arabic,"hospitality,editorial",https://fonts.google.com/specimen/Amiri
readex-pro,Readex Pro,Readex Pro,JetBrains Mono,Readex Pro,Noto Nastaliq Urdu,1.2,16,"400,500,700","bilingual, legible","edtech,hms,gcc",https://fonts.google.com/specimen/Readex+Pro
vazirmatn-bi,Vazirmatn,Vazirmatn,JetBrains Mono,Vazirmatn,Noto Nastaliq Urdu,1.2,16,"400,500,700","bilingual, neutral","saas,admin,gcc",https://fonts.google.com/specimen/Vazirmatn
rubik-rounded,Rubik,Rubik,JetBrains Mono,Rubik,Noto Nastaliq Urdu,1.2,16,"400,500,700","rounded, bilingual","retail,consumer",https://fonts.google.com/specimen/Rubik
nunito-friendly,Nunito,Nunito,JetBrains Mono,Tajawal,Noto Nastaliq Urdu,1.2,16,"400,600,700","friendly, consumer","edtech,booking",https://fonts.google.com/specimen/Nunito
figtree-startup,Figtree,Figtree,JetBrains Mono,IBM Plex Sans Arabic,Noto Nastaliq Urdu,1.25,16,"400,500,700","startup, clean","saas,landing",https://fonts.google.com/specimen/Figtree
geist-dev,Geist,Geist,Geist Mono,IBM Plex Sans Arabic,Noto Nastaliq Urdu,1.2,16,"400,500,600","developer, sharp","dev tools,dashboard",https://fonts.google.com/specimen/Geist
work-sans-retail,Work Sans,Work Sans,JetBrains Mono,Almarai,Noto Nastaliq Urdu,1.2,16,"400,500,700",retail signage,"retail,pos",https://fonts.google.com/specimen/Work+Sans
barlow-industrial,Barlow,Barlow,JetBrains Mono,Noto Sans Arabic,Noto Nastaliq Urdu,1.2,16,"400,500,700","industrial, condensed headings","logistics,warehouse,queue",https://fonts.google.com/specimen/Barlow
archivo-dense,Archivo,Archivo,JetBrains Mono,IBM Plex Sans Arabic,Noto Nastaliq Urdu,1.125,15,"400,500,700","dense, data","trading,analytics",https://fonts.google.com/specimen/Archivo
lexend-readable,Lexend,Lexend,JetBrains Mono,Noto Sans Arabic,Noto Nastaliq Urdu,1.2,16,"400,500,700",readability-focused,"edtech,hms,accessibility",https://fonts.google.com/specimen/Lexend
atkinson-a11y,Atkinson Hyperlegible,Atkinson Hyperlegible,JetBrains Mono,Noto Sans Arabic,Noto Nastaliq Urdu,1.2,16,"400,700",hyperlegible,"hms,accessibility,kiosk",https://fonts.google.com/specimen/Atkinson+Hyperlegible
outfit-display,Outfit,Inter,JetBrains Mono,Cairo,Noto Nastaliq Urdu,1.25,16,"400,600,700",display headings,"landing,marketing",https://fonts.google.com/specimen/Outfit
sora-fintech,Sora,Inter,JetBrains Mono,IBM Plex Sans Arabic,Noto Nastaliq Urdu,1.25,16,"400,600,700","fintech, modern","fintech,wallet",https://fonts.google.com/specimen/Sora
montserrat-brand,Montserrat,Inter,JetBrains Mono,Tajawal,Noto Nastaliq Urdu,1.25,16,"400,600,700",brand-led,"marketplace,retail",https://fonts.google.com/specimen/Montserrat
