term,definition,aliases
UIN,Unique Identification Number issued via NCCPL to each investor,unique identification number
CDC,Central Depository Company of Pakistan holding shares electronically,central depository
CDC sub-account,Account under a broker's CDC participant holding a client's shares,sub account
CDC investor account,Account held directly with CDC giving the client control of share movements,ias
CNIC,Computerised National Identity Card of Pakistan,national id card
NADRA,National Database and Registration Authority of Pakistan; Verisys verifies CNIC,verisys
KSE-100,Benchmark index of PSX,kse 100
Tadawul,Saudi Exchange main market,saudi exchange
Nomu,Saudi parallel market for smaller listings,parallel market
TASI,Tadawul All Share Index,tadawul all share
CMA,Capital Market Authority of Saudi Arabia; also the new name of the UAE federal regulator,capital market authority
Absher,Saudi government e-services identity platform,absher
Nafath,Saudi national single sign-on identity app,nafath
Iqama,Saudi residence permit ID,resident id
DFM,Dubai Financial Market,dubai financial market
ADX,Abu Dhabi Securities Exchange,abu dhabi securities exchange
SCA,Securities and Commodities Authority; UAE federal regulator renamed CMA from 1 January 2026,securities and commodities authority
VARA,Dubai Virtual Assets Regulatory Authority,virtual assets regulatory authority
DFSA,Dubai Financial Services Authority regulating DIFC,dfsa
DIFC,Dubai International Financial Centre free zone,difc
FSRA,Financial Services Regulatory Authority of ADGM,fsra
ADGM,Abu Dhabi Global Market free zone,adgm
UAE Pass,UAE national digital identity app,uaepass
Emirates ID,UAE national identity card,eid
Open banking,Regulated API access to bank accounts for payments and data,account-to-account
Lean,Open-banking provider in the GCC,lean technologies
Tarabut,Open-banking provider in the GCC,tarabut gateway
JazzCash,Pakistani mobile wallet,jazz cash
Easypaisa,Pakistani mobile wallet,easy paisa
Fireblocks,Institutional crypto custody and transfer platform using MPC,mpc custody
Shariah screening,Filter of instruments compliant with Islamic finance rules,sharia compliant list
